variant,candidate_id,model_type,model_track,model_hash,verdict,failed_gates,passed_gates
seed_diagnostic,v28_raw,baseline_v28_raw,baseline,92cd09ac8c08636c3053fd48,blocked,candidate_is_not_baseline;holdout_brier_better_than_v28;holdout_logloss_better_than_v28;forward_evidence_scored_and_promotable;candidate_manifest_frozen_and_inspectable,holdout_coverage;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage
seed_diagnostic,v28s_logistic_calibration_v001,regularized_logistic,pure_physics,7d371feef5f09d24d2b83d90,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_logistic_boundary_physics_v001,regularized_logistic,pure_physics,71c9c323a2b22c1cda078553,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_logistic_book_reliability_diag_v001,regularized_logistic,book_aware_diagnostic,4fd4aac68789e9c885f46767,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_monotonic_tabular_v001,monotonic_tabular_calibration,pure_physics,be73833bdead411c157e790e,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_boundary_monotonic_blend_v001,monotonic_tabular_calibration,pure_physics,631a5c49f164f77440c3381c,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_boundary_monotonic_light_v001,monotonic_tabular_calibration,pure_physics,4b1b6170f9698bf3786aa5d7,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_boundary_monotonic_time_safe_v001,monotonic_tabular_calibration,pure_physics,8dfbc48a962472ac6230eede,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_boundary_monotonic_micro_time_safe_v001,monotonic_tabular_calibration,pure_physics,5229f8966bde26448e9c4403,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
seed_diagnostic,v28s_late_dsigma_residual_tilt_v001,fixed_logit_residual,pure_physics,6c24b9d069769194cd6bf7fd,blocked,holdout_logloss_better_than_v28,candidate_is_not_baseline;holdout_coverage;holdout_brier_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;forward_evidence_scored_and_promotable;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28_raw,baseline_v28_raw,baseline,92cd09ac8c08636c3053fd48,blocked,candidate_is_not_baseline;holdout_brier_better_than_v28;holdout_logloss_better_than_v28;forward_evidence_scored_and_promotable;candidate_manifest_frozen_and_inspectable,holdout_coverage;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage
logged_events_diagnostic,v28s_logistic_calibration_v001,regularized_logistic,pure_physics,065072105a4f4792a473a741,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_logistic_boundary_physics_v001,regularized_logistic,pure_physics,a938bf30c29577fc972b5a7d,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_logistic_book_reliability_diag_v001,regularized_logistic,book_aware_diagnostic,1612cf1a1fd3d451ff05ccad,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_monotonic_tabular_v001,monotonic_tabular_calibration,pure_physics,f01a85e32739def20cd8c3b0,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_boundary_monotonic_blend_v001,monotonic_tabular_calibration,pure_physics,db7461bb1e38cb2256cf3530,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_boundary_monotonic_light_v001,monotonic_tabular_calibration,pure_physics,c1edea2fdb0e0eb8b405faf0,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_boundary_monotonic_time_safe_v001,monotonic_tabular_calibration,pure_physics,9b461a310d06c06b55af2e2d,blocked,forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_boundary_monotonic_micro_time_safe_v001,monotonic_tabular_calibration,pure_physics,9c831d7954e3c65fec6c0794,blocked,forward_evidence_scored_and_promotable,candidate_is_not_baseline;holdout_coverage;holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;candidate_manifest_frozen_and_inspectable
logged_events_diagnostic,v28s_late_dsigma_residual_tilt_v001,fixed_logit_residual,pure_physics,b160fbf8edd98b998b089805,blocked,holdout_brier_better_than_v28;holdout_logloss_better_than_v28;boundary_brier_not_degraded,candidate_is_not_baseline;holdout_coverage;recross_brier_not_degraded_or_unavailable;shadow_economics_reported;source_quality_forward_registered;source_contract_promotion_ready;frozen_forward_registry_present;forward_market_coverage;forward_evidence_scored_and_promotable;candidate_manifest_frozen_and_inspectable
